22,"[0.9726, 0.9728, 0.9749, 0.9999, 0.9999, 0.9999, 1.0]",-1,0.9999,first child
22,"[0.979, 0.9997, 1.0]",0.9999,0.9997,gap found before anti_granular_guard
22,[1.0],-1,1.0,single comp
4,"[0.6716, 0.6717, 0.6738, 0.6748, 0.6749, 0.6751, 0.6823, 0.6823, 0.9656, 0.9656, 0.966, 0.966, 0.966, 0.9662, 0.9683, 0.9685, 0.9685, 0.9686, 0.9687, 0.9696, 0.9699, 0.97, 0.9704, 0.9704, 0.9704, 0.9704, 0.9705, 0.9709, 0.9711, 0.9713, 0.9714, 0.9714, 0.9714, 0.9714, 0.9715, 0.9716, 0.9972, 0.9994, 0.9995, 0.9996, 0.9996, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9997, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",-1,0.9656,first child
4,"[0.6711, 0.6711, 0.9314, 0.9316, 0.9865, 0.9934, 0.9997, 0.9999]",0.9656,0.9314,gap found before anti_granular_guard
4,"[1.0, 1.0]",0.9314,1.0,1 anti_granular_guard < all compatibilities
28,"[0.9314, 0.9316, 0.9865, 0.9934, 0.9997, 0.9999]",-1,0.9865,first child
28,"[0.9998, 1.0]",0.9865,0.9998,1 anti_granular_guard < all compatibilities
30,"[0.9864, 0.9933, 0.9996, 1.0]",-1,0.9933,first child
30,[1.0],-1,1.0,single comp
