/usr/bin/python3.5 /home/meoke/Repos/pang/src/pangenome.py mln -f files/mycoplasma8/mycoplasma_more.hal.maf -format maf -m all -data mycoplasma
Building multialignment from /home/meoke/Repos/pang/tests/files/mycoplasma8/mycoplasma_more.hal.maf...
block: 153, +: 2, -:6, MINUS,
block: 154, +: 2, -:6, MINUS,
block: 155, +: 2, -:6, MINUS,
block: 156, +: 2, -:6, MINUS,
block: 157, +: 2, -:6, MINUS,
block: 158, +: 2, -:6, MINUS,
block: 159, +: 2, -:6, MINUS,
block: 160, +: 2, -:6, MINUS,
block: 161, +: 2, -:6, MINUS,
block: 162, +: 2, -:6, MINUS,
block: 163, +: 2, -:6, MINUS,
block: 164, +: 2, -:6, MINUS,
block: 165, +: 2, -:6, MINUS,
block: 166, +: 2, -:6, MINUS,
block: 167, +: 2, -:6, MINUS,
block: 168, +: 2, -:6, MINUS,
block: 169, +: 2, -:6, MINUS,
block: 170, +: 2, -:6, MINUS,
block: 171, +: 2, -:6, MINUS,
block: 172, +: 2, -:6, MINUS,
block: 173, +: 2, -:6, MINUS,
block: 174, +: 2, -:6, MINUS,
block: 175, +: 2, -:6, MINUS,
block: 176, +: 2, -:6, MINUS,
block: 177, +: 2, -:6, MINUS,
block: 178, +: 2, -:6, MINUS,
block: 179, +: 2, -:6, MINUS,
block: 180, +: 2, -:6, MINUS,
block: 181, +: 2, -:6, MINUS,
block: 182, +: 2, -:6, MINUS,
block: 183, +: 2, -:6, MINUS,
block: 184, +: 2, -:6, MINUS,
block: 185, +: 2, -:6, MINUS,
block: 186, +: 2, -:6, MINUS,
block: 187, +: 2, -:6, MINUS,
block: 188, +: 2, -:6, MINUS,
block: 189, +: 2, -:6, MINUS,
block: 190, +: 2, -:6, MINUS,
block: 191, +: 2, -:6, MINUS,
block: 192, +: 2, -:6, MINUS,
block: 193, +: 2, -:6, MINUS,
block: 194, +: 2, -:6, MINUS,
block: 195, +: 2, -:6, MINUS,
block: 196, +: 2, -:6, MINUS,
block: 197, +: 2, -:6, MINUS,
block: 198, +: 2, -:6, MINUS,
block: 199, +: 2, -:6, MINUS,
block: 200, +: 2, -:6, MINUS,
block: 201, +: 2, -:6, MINUS,
block: 202, +: 2, -:6, MINUS,
block: 203, +: 2, -:6, MINUS,
block: 204, +: 2, -:6, MINUS,
block: 205, +: 2, -:6, MINUS,
block: 206, +: 2, -:6, MINUS,
block: 207, +: 2, -:6, MINUS,
block: 208, +: 4, -:0, ,
block: 209, +: 3, -:0, ,
block: 210, +: 4, -:0, ,
block: 211, +: 3, -:0, ,
block: 212, +: 4, -:0, ,
block: 213, +: 4, -:6, MINUS,
block: 214, +: 4, -:0, ,
block: 215, +: 4, -:0, ,
block: 216, +: 4, -:0, ,
block: 217, +: 3, -:0, ,
block: 218, +: 4, -:0, ,
block: 219, +: 3, -:0, ,
block: 220, +: 4, -:6, MINUS,
block: 221, +: 4, -:6, MINUS,
block: 222, +: 2, -:6, MINUS,
block: 223, +: 2, -:6, MINUS,
block: 224, +: 2, -:6, MINUS,
block: 225, +: 2, -:6, MINUS,
block: 226, +: 2, -:6, MINUS,
block: 227, +: 2, -:6, MINUS,
block: 228, +: 2, -:6, MINUS,
block: 229, +: 1, -:8, MINUS,
block: 230, +: 1, -:8, MINUS,
block: 231, +: 1, -:8, MINUS,
block: 232, +: 4, -:9, MINUS,
block: 233, +: 4, -:9, MINUS,
block: 234, +: 4, -:9, MINUS,
block: 235, +: 1, -:8, MINUS,
block: 236, +: 1, -:7, MINUS,
block: 237, +: 4, -:8, MINUS,
block: 238, +: 4, -:7, MINUS,
