4,"[0.672, 0.672, 0.674, 0.675, 0.675, 0.675, 0.682, 0.682, 0.966, 0.966, 0.966, 0.966, 0.966, 0.966, 0.968, 0.968, 0.968, 0.969, 0.969, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.972, 0.972, 0.997, 0.999, 0.999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",-1,0.966,first child
4,"[0.671, 0.671, 0.931, 0.932, 0.987, 0.993, 1.0, 1.0]",0.966,0.931,gap found before anti_granular_guard
4,"[1.0, 1.0]",0.931,1.0,1 anti_granular_guard < all compatibilities
26,"[0.931, 0.932, 0.987, 0.993, 1.0, 1.0]",-1,0.987,first child
26,"[1.0, 1.0]",0.987,1.0,1 anti_granular_guard < all compatibilities
28,"[0.986, 0.993, 1.0, 1.0]",-1,0.993,first child
28,[1.0],-1,1.0,single comp
25,"[0.966, 0.966, 0.966, 0.966, 0.966, 0.966, 0.968, 0.968, 0.968, 0.969, 0.969, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.972, 0.972, 0.997, 0.999, 0.999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",-1,0.997,first child
25,"[0.978, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.985, 0.985, 0.986, 0.986, 0.986, 0.986, 0.988, 0.988, 0.988, 0.988, 0.999, 0.999, 0.999, 1.0, 1.0, 1.0, 1.0, 1.0]",0.997,0.981,gap found before anti_granular_guard
25,[1.0],-1,1.0,single comp
33,"[0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.985, 0.985, 0.986, 0.986, 0.986, 0.986, 0.988, 0.988, 0.988, 0.988, 0.999, 0.999, 0.999, 1.0, 1.0, 1.0, 1.0, 1.0]",-1,0.985,first child
33,"[0.999, 0.999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.985,0.999,1 anti_granular_guard < all compatibilities
35,"[0.985, 0.985, 0.986, 0.986, 0.986, 0.986, 0.988, 0.988, 0.988, 0.988, 0.999, 0.999, 0.999, 1.0, 1.0, 1.0, 1.0, 1.0]",-1,0.999,first child
35,"[0.99, 0.99, 0.99, 0.99, 0.996, 0.996, 0.998, 1.0, 1.0, 1.0]",0.999,0.996,gap found before anti_granular_guard
35,"[0.999, 1.0, 1.0, 1.0]",0.996,0.999,1 anti_granular_guard < all compatibilities
